cell_id,min_lon,max_lon,min_lat,max_lat,centroid_lon,centroid_lat
c1,78.0,78.1,28.5,28.6,78.05,28.55
c2,78.0,78.1,28.6,28.700000000000003,78.05,28.650000000000002
c3,78.0,78.1,28.700000000000003,28.800000000000004,78.05,28.750000000000004
c4,78.0,78.1,28.800000000000004,28.900000000000006,78.05,28.850000000000005
c5,78.0,78.1,28.900000000000006,29.000000000000007,78.05,28.950000000000006
c6,78.0,78.1,29.000000000000007,29.10000000000001,78.05,29.050000000000008
c7,78.0,78.1,29.10000000000001,29.20000000000001,78.05,29.15000000000001
c8,78.0,78.1,29.20000000000001,29.30000000000001,78.05,29.25000000000001
c9,78.0,78.1,29.30000000000001,29.400000000000013,78.05,29.350000000000012
c10,78.0,78.1,29.400000000000013,29.500000000000014,78.05,29.450000000000014
c11,78.0,78.1,29.500000000000014,29.600000000000016,78.05,29.550000000000015
c12,78.0,78.1,29.600000000000016,29.700000000000017,78.05,29.650000000000016
c13,78.0,78.1,29.700000000000017,29.80000000000002,78.05,29.750000000000018
c14,78.0,78.1,29.80000000000002,29.90000000000002,78.05,29.85000000000002
c15,78.0,78.1,29.90000000000002,30.00000000000002,78.05,29.95000000000002
c16,78.0,78.1,30.00000000000002,30.100000000000023,78.05,30.050000000000022
c17,78.0,78.1,30.100000000000023,30.200000000000024,78.05,30.150000000000023
c18,78.0,78.1,30.200000000000024,30.300000000000026,78.05,30.250000000000025
c19,78.0,78.1,30.300000000000026,30.400000000000027,78.05,30.350000000000026
c20,78.0,78.1,30.400000000000027,30.50000000000003,78.05,30.450000000000028
c21,78.0,78.1,30.50000000000003,30.60000000000003,78.05,30.55000000000003
c22,78.0,78.1,30.60000000000003,30.70000000000003,78.05,30.65000000000003
c23,78.0,78.1,30.70000000000003,30.800000000000033,78.05,30.750000000000032
c24,78.0,78.1,30.800000000000033,30.900000000000034,78.05,30.850000000000033
c25,78.0,78.1,30.900000000000034,31.000000000000036,78.05,30.950000000000035
c26,78.0,78.1,31.000000000000036,31.100000000000037,78.05,31.050000000000036
c27,78.0,78.1,31.100000000000037,31.20000000000004,78.05,31.150000000000038
c28,78.0,78.1,31.20000000000004,31.30000000000004,78.05,31.25000000000004
c29,78.0,78.1,31.30000000000004,31.40000000000004,78.05,31.35000000000004
c30,78.0,78.1,31.40000000000004,31.500000000000043,78.05,31.450000000000042
c31,78.1,78.19999999999999,28.5,28.6,78.14999999999999,28.55
c32,78.1,78.19999999999999,28.6,28.700000000000003,78.14999999999999,28.650000000000002
c33,78.1,78.19999999999999,28.700000000000003,28.800000000000004,78.14999999999999,28.750000000000004
c34,78.1,78.19999999999999,28.800000000000004,28.900000000000006,78.14999999999999,28.850000000000005
c35,78.1,78.19999999999999,28.900000000000006,29.000000000000007,78.14999999999999,28.950000000000006
c36,78.1,78.19999999999999,29.000000000000007,29.10000000000001,78.14999999999999,29.050000000000008
c37,78.1,78.19999999999999,29.10000000000001,29.20000000000001,78.14999999999999,29.15000000000001
c38,78.1,78.19999999999999,29.20000000000001,29.30000000000001,78.14999999999999,29.25000000000001
c39,78.1,78.19999999999999,29.30000000000001,29.400000000000013,78.14999999999999,29.350000000000012
c40,78.1,78.19999999999999,29.400000000000013,29.500000000000014,78.14999999999999,29.450000000000014
c41,78.1,78.19999999999999,29.500000000000014,29.600000000000016,78.14999999999999,29.550000000000015
c42,78.1,78.19999999999999,29.600000000000016,29.700000000000017,78.14999999999999,29.650000000000016
c43,78.1,78.19999999999999,29.700000000000017,29.80000000000002,78.14999999999999,29.750000000000018
c44,78.1,78.19999999999999,29.80000000000002,29.90000000000002,78.14999999999999,29.85000000000002
c45,78.1,78.19999999999999,29.90000000000002,30.00000000000002,78.14999999999999,29.95000000000002
c46,78.1,78.19999999999999,30.00000000000002,30.100000000000023,78.14999999999999,30.050000000000022
c47,78.1,78.19999999999999,30.100000000000023,30.200000000000024,78.14999999999999,30.150000000000023
